dataset	dataset_label	k	method	kmer_count	S_bits_per_kmer	M_bits_per_kmer	lb
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	4.716719816001384	1.0814774635192386	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	2.403240383350128	0.634271463945185	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	greedy-minone	188704463	2.403240383350128	0.8677964124250733	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	greedy-minrun	188704463	2.403240383350128	0.5912262923002515	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-1	188704463	2.4089131267658463	0.5057372702414569	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-250	188704463	2.6067172348753616	0.004000668495053029	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-30	188704463	2.605201414870617	0.004925543281930751	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	2.6067172348753616	0.004000668495053029	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	2.552161514060216	0.05490100146704002	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	2.606361535815928	0.004199752286727845	2.4050751890750015
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	2.7280010860156496	0.01158454847991592	2.4050751890750015
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	3.0981125975610775	0.2730044144516968	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	2.452991193277476	0.1467806826143896	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	greedy-minone	453589061	2.452991193277476	0.26221034461851805	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	2.452991193277476	0.14605516247227135	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	2.453327250764542	0.14484045945720017	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	3.116386402448978	0.05233325501207358	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	2.5273389959463772	0.10172591000822218	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	3.4249688794853896	0.04394476347391455	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	2.459737105520717	0.12954301823429556	2.4604984262277783
