method	superstring	mask	genome	k	alg	len	runs	kmer_count	LB_runs	LB_length	run_penalty
joint-400	776764209	922450	E.coli pg.	31	joint-400	776764209	922450	453589061	319608	556307105	400
joint-70	604967355	1916236	E.coli pg.	31	joint-70	604967355	1916236	453589061	319608	556307105	70
joint-7	557854922	3506534	E.coli pg.	31	joint-7	557854922	3506534	453589061	319608	556307105	7
matchtigs	608557416	2901946	E.coli pg.	31	greedy matchtigs	608557416	2901946	453589061	319608	556307105	NA
simplitigs	702651252	8302074	E.coli pg.	31	greedy simplitigs	702651252	8302074	453589061	319608	556307105	NA
unitigs	1243002312	26313776	E.coli pg.	31	unitigs	1243002312	26313776	453589061	319608	556307105	NA
eulertigs	1285256193	8467956	E.coli pg.	63	optimal simplitigs	1285256193	8467956	760242982	551433	999374554	NA
greedy-maxone	999416728	3701288	E.coli pg.	63	greedyMS-maxone	999416728	3701288	760242982	551433	999374554	NA
greedy-minone	999416728	8468288	E.coli pg.	63	greedyMS-minone	999416728	8468288	760242982	551433	999374554	NA
greedy-minrun	999416728	3676230	E.coli pg.	63	greedyMS-minrun	999416728	3676230	760242982	551433	999374554	NA
joint-1	999444083	3698087	E.coli pg.	63	joint-1	999444083	3698087	760242982	551433	999374554	1
joint-250	1137134081	1691427	E.coli pg.	63	joint-250	1137134081	1691427	760242982	551433	999374554	250
joint-30	1008658148	2937568	E.coli pg.	63	joint-30	1008658148	2937568	760242982	551433	999374554	30
joint-400	1219655508	1428773	E.coli pg.	63	joint-400	1219655508	1428773	760242982	551433	999374554	400
joint-70	1031991551	2445292	E.coli pg.	63	joint-70	1031991551	2445292	760242982	551433	999374554	70
joint-7	1000087403	3443802	E.coli pg.	63	joint-7	1000087403	3443802	760242982	551433	999374554	7
matchtigs	1077352339	2838862	E.coli pg.	63	greedy matchtigs	1077352339	2838862	760242982	551433	999374554	NA
simplitigs	1285277397	8468298	E.coli pg.	63	greedy simplitigs	1285277397	8468298	760242982	551433	999374554	NA
unitigs	2394712031	26362405	E.coli pg.	63	unitigs	2394712031	26362405	760242982	551433	999374554	NA
