dataset	dataset_label	k	method	kmer_count	component	compressor	compression_setting	size_bytes	bits_per_kmer
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	superstring	geco3	max	58628753	2.485526926832674
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	mask	xz	basic	162960	0.006908580641253832
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	superstring	xz	basic	65109092	2.7602565817428495
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	mask	xz	max	77305	0.0032772939768785435
E._coli_pangenome	E. coli pangenome	15	joint-400	188704463	superstring	xz	max	65097256	2.7597548024076146
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	mask	geco3	basic	922419	0.0391053390189293
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	superstring	geco3	basic	58784143	2.4921145823668196
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	mask	geco3	max	915985	0.03883257387505456
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	superstring	geco3	max	57682400	2.4454069218278107
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	mask	xz	basic	1790836	0.07592129922226588
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	superstring	xz	basic	64315496	2.726612607991153
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	mask	xz	max	1031597	0.04373386759803344
E._coli_pangenome	E. coli pangenome	15	joint-7	188704463	superstring	xz	max	63780428	2.7039287565763614
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	mask	geco3	basic	90014	0.0038160835655487385
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	superstring	geco3	basic	59890049	2.538998730517571
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	mask	geco3	max	110715	0.004693688670203842
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	superstring	geco3	max	58630481	2.4856001842415356
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	mask	xz	basic	169840	0.007200253658017616
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	superstring	xz	basic	63842280	2.706550930912535
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	mask	xz	max	81295	0.003446447368868006
E._coli_pangenome	E. coli pangenome	15	joint-70	188704463	superstring	xz	max	65097336	2.759758193954321
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	mask	geco3	basic	172162	0.007298693301175394
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	superstring	geco3	basic	63271409	2.6823492351635583
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	mask	geco3	max	189884	0.008050005685345132
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	superstring	geco3	max	62081033	2.6318840376340225
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	mask	xz	basic	168104	0.007126657094485359
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	superstring	xz	basic	66689448	2.8272547215801676
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	mask	xz	max	174186	0.0073844994328512515
E._coli_pangenome	E. coli pangenome	15	matchtigs	188704463	superstring	xz	max	66614564	2.824080064285496
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	mask	geco3	basic	10436919	0.23767185257754359
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	superstring	geco3	basic	119582289	2.723154616998868
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	mask	geco3	max	6527929	0.1486554584666865
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	superstring	geco3	max	109412508	2.491566090674394
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	mask	xz	basic	6956308	0.15841060081619748
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	superstring	xz	basic	123818964	2.819633127181707
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	mask	xz	max	6983994	0.1590410725972338
E._coli_pangenome	E. coli pangenome	21	eulertigs	351305176	superstring	xz	max	116325428	2.648988650255469
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	mask	geco3	basic	6913221	0.1574294140203616
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	superstring	geco3	basic	93710696	2.134000917766153
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	mask	geco3	max	6807371	0.15501897415824012
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	superstring	geco3	max	78281058	1.782633752028749
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	mask	xz	basic	10551080	0.24027155238953837
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	superstring	xz	basic	92861560	2.114664202954983
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	mask	xz	max	7381770	0.1680993165896309
E._coli_pangenome	E. coli pangenome	21	greedy-maxone	351305176	superstring	xz	max	86117768	1.9610930639974402
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	mask	geco3	basic	6894932	0.15701293282396728
